stationid,date,year,month,day,variable,value,station_name,latitude,spei_date
USH00294426,1911-01-31,1911,1,31,spei12mo,NA,JORNADA EXP RANGE,32.6169,Jan 1911
USH00294426,1911-02-28,1911,2,28,spei12mo,NA,JORNADA EXP RANGE,32.6169,Feb 1911
USH00294426,1911-03-31,1911,3,31,spei12mo,NA,JORNADA EXP RANGE,32.6169,Mar 1911
USH00294426,1911-04-30,1911,4,30,spei12mo,NA,JORNADA EXP RANGE,32.6169,Apr 1911
USH00294426,1911-05-31,1911,5,31,spei12mo,NA,JORNADA EXP RANGE,32.6169,May 1911
USH00294426,1911-06-30,1911,6,30,spei12mo,NA,JORNADA EXP RANGE,32.6169,Jun 1911
USH00294426,1911-07-31,1911,7,31,spei12mo,NA,JORNADA EXP RANGE,32.6169,Jul 1911
USH00294426,1911-08-31,1911,8,31,spei12mo,NA,JORNADA EXP RANGE,32.6169,Aug 1911
USH00294426,1911-09-30,1911,9,30,spei12mo,NA,JORNADA EXP RANGE,32.6169,Sep 1911
USH00294426,1911-10-31,1911,10,31,spei12mo,NA,JORNADA EXP RANGE,32.6169,Oct 1911
USH00294426,1911-11-30,1911,11,30,spei12mo,NA,JORNADA EXP RANGE,32.6169,Nov 1911
USH00294426,1911-12-31,1911,12,31,spei12mo,0.10345042217034717,JORNADA EXP RANGE,32.6169,Dec 1911
USH00294426,1912-01-31,1912,1,31,spei12mo,0.13595751685426508,JORNADA EXP RANGE,32.6169,Jan 1912
USH00294426,1912-02-29,1912,2,29,spei12mo,-0.15345567634480894,JORNADA EXP RANGE,32.6169,Feb 1912
USH00294426,1912-03-31,1912,3,31,spei12mo,-0.06831139362178161,JORNADA EXP RANGE,32.6169,Mar 1912
USH00294426,1912-04-30,1912,4,30,spei12mo,0.12102285830890108,JORNADA EXP RANGE,32.6169,Apr 1912
USH00294426,1912-05-31,1912,5,31,spei12mo,0.1624073135638134,JORNADA EXP RANGE,32.6169,May 1912
USH00294426,1912-06-30,1912,6,30,spei12mo,0.032603026104687016,JORNADA EXP RANGE,32.6169,Jun 1912
USH00294426,1912-07-31,1912,7,31,spei12mo,-0.4837850815141788,JORNADA EXP RANGE,32.6169,Jul 1912
